L-R,s1r2,s1r6,s2r1_HV203,s2r1_HV207,s2r7_a,s2r7_b,HV171A,HV191A_A,HV191A_B,HV205A,HV205B,HV220A_A,HV220A_B,s1r1_a,s1r1_b,s1r3,s1r5,s2r2_HV137,s2r2_HV184,s2r3,s2r8_HV185,HV137A,HV140A_A,HV140A_B,HV160C_A,HV160C_B,HV198B_A,HV198B_B,HV219AB_A,HV219AB_B,HV219AS_A,HV219AS_B,HV219AS_C
CSF3-CSF2RA,0.7982644645013438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04619821013263666,0.0,0.0,0.22277595628415342,0.09656476720993631,0.0,0.0,0.09638261311585937,0.5197560328825254,0.0,0.0,0.6630236794171237,1.0,0.0,0.0,0.37431292779021613,0.0,0.4067040326386703
CXCL1-ACKR1,0.23152880870946682,0.0,0.8807131597216129,0.36584792809242256,0.0,0.0,0.0,0.0,0.3565600431202722,0.0,0.0,0.0,0.9570863220380911,0.0,0.0,0.13323852498483155,0.07908318905103413,1.0,0.0,0.2857067057188037,0.43810289389067525,0.22424415098109543,0.7513675725021989,0.0,0.0,0.0,0.9741628907856761,0.7701304979365615,0.0,0.9810340197281041,0.0,0.7975046691183552,0.0
CXCL10-ACKR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037820658792312853,0.0,0.0,0.0,0.0,0.0,0.0,0.18142097264437643,0.23904881101376663,0.0,0.0905818189657027,0.08830328247803944,0.1975958545427904,0.0,0.2003658175753822,0.4839904201606319,0.0,0.0,0.9755585498072857,1.0,0.0,0.0,0.0,0.0,0.23127486594014796
CXCL12-CXCR4,0.08856468764012783,0.019740634759823572,0.10881855794247512,0.10428676056942675,0.0,0.2888964653280077,0.018931030588114833,0.17935941196630928,0.11391959609230458,0.009424149087443712,0.00968002671673935,0.2093619190326623,0.0552174646166303,0.10242975609124141,0.13907248939433522,0.17311678497020908,0.26209022855881375,0.21965101963954842,0.5555609089482546,0.4136683019643578,0.3907210277227045,0.1798241420716825,0.28970875081934666,0.27589138392776824,0.0003426036293221487,0.04969700477857149,0.9094046453429668,0.5734955630398781,0.16657634014224512,0.2163846225886795,0.4683107547906231,1.0,0.3473397538575641
CXCL12-CD4,0.17798632610506507,0.043158393684301945,0.23569568022214202,0.2959251317053748,0.07447042534074705,0.4418080912877672,0.0,0.24797035610336968,0.25070811961932515,0.06844180669324144,0.09441048515950583,0.5667206558646666,0.15990826681207498,0.16808633288576696,0.1891062149740554,0.2038447292634954,0.2610216606768589,0.16813596571219824,0.6718855480808364,0.27812910140504415,0.8708929077192817,0.1543630477717496,0.18028935333213805,0.33902412593242953,0.056404952172120784,0.12682904686930768,1.0,0.5373559720844214,0.30104322021210894,0.20091481770699451,0.3456318639310166,0.6110519285360564,0.37755447552247373
CXCL14-CXCR4,0.16140369769954796,0.002753251882892826,0.07178419647576059,0.025508645872334722,0.0,0.40541145377214804,0.037443442351001756,0.07663295300605102,0.1359220914265473,0.03366609147699659,0.02170031995216134,0.18801615369751012,0.039704074983772174,0.06624257844643372,0.08625267188560337,0.11911173221323497,0.209511709709809,0.06330546668227081,0.4212337815109143,0.23394407149144014,0.5233794427674429,0.07692236074177755,0.16431248734330742,0.3062159517040936,0.011600151673902482,0.0097616101053263,1.0,0.443637888107774,0.03663261907043483,0.07106619236011835,0.39848822865805456,0.0,0.3153212244533649
CXCL2-ACKR1,0.0814386787955066,0.06862666985366349,0.3586845363044287,0.4124884124884117,0.04121212121212112,0.0,0.10303030303030276,0.222768222768222,0.2600490501725065,0.0,0.0,0.0,1.0,0.0,0.0,0.36010814892316556,0.16527328364983365,0.5887445887445873,0.0,0.15963934055743187,0.37671043155503753,0.1063820667781063,0.4454440315052764,0.0,0.0423050003888328,0.0,0.6770211071286332,0.48012012587658237,0.0,0.6356191579121473,0.0,0.269140383426097,0.1229246943532656
CXCL6-ACKR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09275188869773361,0.43231464836302197,0.0,0.0,0.0,0.8839936168736552,0.17020421827921015,0.0,1.0,0.0,0.0,0.0
CXCL9-ACKR1,0.0,0.0,0.4833303682618752,0.0,0.0,0.0,0.0,0.0,0.20700891075940933,0.7919051886533616,0.0,0.0,0.6415492821297795,0.0,0.0,0.47548748255510254,0.10418321675611782,0.0,0.0,0.2777014562154099,0.7424722970306358,0.21229615133724702,0.22946959714956236,0.6964487512157097,0.0,0.0,0.8037372715512963,1.0,0.0,0.0,0.0,0.0,0.5022182786157942
EDN1-EDNRB,1.0,0.1760191289617698,0.53943670188129,0.9503107742213263,0.5541796703102143,0.0,0.009035373924272259,0.21966543034868372,0.3796425787204974,0.0,0.006934788445124705,0.17740491365423372,0.39709315727140493,0.12106399909059838,0.14484836529236872,0.12717094012624225,0.9884675969704917,0.0,0.5239435020696419,0.0,0.854365936439368,0.0,0.600233272802128,0.11340536178549067,0.29638637312376276,0.03637039428461795,0.48126897442579014,0.4204954546953526,0.3393175750908861,0.4417697037198686,0.4860000155569774,0.0,0.5722961433540177
